image_path,flag
/media/prostate/20200414_prostate_normalize_ite_fix_lumithres0.8_out_shorttissue_flag/color_normalization_ite_fix_lumthres0.8_out_shorttissue_flag_refactor/v4_dai2ki_color_normalization_modified_version/out/20200415test/5p375N/Normalize_per_ROI/P02212/EXCEPTION/EXCEPTION019301N1/EXCEPTION019301N1_2265_7907_class_0.jpg,1
/media/prostate/20200414_prostate_normalize_ite_fix_lumithres0.8_out_shorttissue_flag/color_normalization_ite_fix_lumthres0.8_out_shorttissue_flag_refactor/v4_dai2ki_color_normalization_modified_version/out/20200415test/5p375N/Normalize_per_ROI/P02212/EXCEPTION/EXCEPTION019301N1/EXCEPTION019301N1_2260_7907_class_0.jpg,1
/media/prostate/20200414_prostate_normalize_ite_fix_lumithres0.8_out_shorttissue_flag/color_normalization_ite_fix_lumthres0.8_out_shorttissue_flag_refactor/v4_dai2ki_color_normalization_modified_version/out/20200415test/5p375N/Normalize_per_ROI/P02212/EXCEPTION/EXCEPTION019301N1/EXCEPTION019301N1_2264_7907_class_0.jpg,1
/media/prostate/20200414_prostate_normalize_ite_fix_lumithres0.8_out_shorttissue_flag/color_normalization_ite_fix_lumthres0.8_out_shorttissue_flag_refactor/v4_dai2ki_color_normalization_modified_version/out/20200415test/5p375N/Normalize_per_ROI/P02212/EXCEPTION/EXCEPTION019301N1/EXCEPTION019301N1_2071_9032_class_0.jpg,1
/media/prostate/20200414_prostate_normalize_ite_fix_lumithres0.8_out_shorttissue_flag/color_normalization_ite_fix_lumthres0.8_out_shorttissue_flag_refactor/v4_dai2ki_color_normalization_modified_version/out/20200415test/5p375N/Normalize_per_ROI/P02212/EXCEPTION/EXCEPTION019301N1/EXCEPTION019301N1_2071_9031_class_0.jpg,1
/media/prostate/20200414_prostate_normalize_ite_fix_lumithres0.8_out_shorttissue_flag/color_normalization_ite_fix_lumthres0.8_out_shorttissue_flag_refactor/v4_dai2ki_color_normalization_modified_version/out/20200415test/5p375N/Normalize_per_ROI/P02212/EXCEPTION/EXCEPTION019301N1/EXCEPTION019301N1_2077_9032_class_0.jpg,1
/media/prostate/20200414_prostate_normalize_ite_fix_lumithres0.8_out_shorttissue_flag/color_normalization_ite_fix_lumthres0.8_out_shorttissue_flag_refactor/v4_dai2ki_color_normalization_modified_version/out/20200415test/5p375N/Normalize_per_ROI/P02212/EXCEPTION/EXCEPTION019301N1/EXCEPTION019301N1_2266_7907_class_0.jpg,1
/media/prostate/20200414_prostate_normalize_ite_fix_lumithres0.8_out_shorttissue_flag/color_normalization_ite_fix_lumthres0.8_out_shorttissue_flag_refactor/v4_dai2ki_color_normalization_modified_version/out/20200415test/5p375N/Normalize_per_ROI/P02212/EXCEPTION/EXCEPTION019301N1/EXCEPTION019301N1_2269_7907_class_0.jpg,1
/media/prostate/20200414_prostate_normalize_ite_fix_lumithres0.8_out_shorttissue_flag/color_normalization_ite_fix_lumthres0.8_out_shorttissue_flag_refactor/v4_dai2ki_color_normalization_modified_version/out/20200415test/5p375N/Normalize_per_ROI/P02212/EXCEPTION/EXCEPTION019301N1/EXCEPTION019301N1_2071_9407_class_0.jpg,1
/media/prostate/20200414_prostate_normalize_ite_fix_lumithres0.8_out_shorttissue_flag/color_normalization_ite_fix_lumthres0.8_out_shorttissue_flag_refactor/v4_dai2ki_color_normalization_modified_version/out/20200415test/5p375N/Normalize_per_ROI/P02212/EXCEPTION/EXCEPTION019301N1/EXCEPTION019301N1_2071_9033_class_0.jpg,1
/media/prostate/20200414_prostate_normalize_ite_fix_lumithres0.8_out_shorttissue_flag/color_normalization_ite_fix_lumthres0.8_out_shorttissue_flag_refactor/v4_dai2ki_color_normalization_modified_version/out/20200415test/5p375N/Normalize_per_ROI/P02212/EXCEPTION/EXCEPTION019301N1/EXCEPTION019301N1_2071_9220_class_0.jpg,1
/media/prostate/20200414_prostate_normalize_ite_fix_lumithres0.8_out_shorttissue_flag/color_normalization_ite_fix_lumthres0.8_out_shorttissue_flag_refactor/v4_dai2ki_color_normalization_modified_version/out/20200415test/5p375N/Normalize_per_ROI/P02212/EXCEPTION/EXCEPTION019301N1/EXCEPTION019301N1_2071_9034_class_0.jpg,1
/media/prostate/20200414_prostate_normalize_ite_fix_lumithres0.8_out_shorttissue_flag/color_normalization_ite_fix_lumthres0.8_out_shorttissue_flag_refactor/v4_dai2ki_color_normalization_modified_version/out/20200415test/5p375N/Normalize_per_ROI/P02212/EXCEPTION/EXCEPTION019301N1/EXCEPTION019301N1_2268_7907_class_0.jpg,1
/media/prostate/20200414_prostate_normalize_ite_fix_lumithres0.8_out_shorttissue_flag/color_normalization_ite_fix_lumthres0.8_out_shorttissue_flag_refactor/v4_dai2ki_color_normalization_modified_version/out/20200415test/5p375N/Normalize_per_ROI/P02212/EXCEPTION/EXCEPTION019301N1/EXCEPTION019301N1_2071_9030_class_0.jpg,1
/media/prostate/20200414_prostate_normalize_ite_fix_lumithres0.8_out_shorttissue_flag/color_normalization_ite_fix_lumthres0.8_out_shorttissue_flag_refactor/v4_dai2ki_color_normalization_modified_version/out/20200415test/5p375N/Normalize_per_ROI/P02212/EXCEPTION/EXCEPTION019301N1/EXCEPTION019301N1_2267_7907_class_0.jpg,1
/media/prostate/20200414_prostate_normalize_ite_fix_lumithres0.8_out_shorttissue_flag/color_normalization_ite_fix_lumthres0.8_out_shorttissue_flag_refactor/v4_dai2ki_color_normalization_modified_version/out/20200415test/5p375N/Normalize_per_ROI/P02212/EXCEPTION/EXCEPTION019301N1/EXCEPTION019301N1_2077_9407_class_0.jpg,1
/media/prostate/20200414_prostate_normalize_ite_fix_lumithres0.8_out_shorttissue_flag/color_normalization_ite_fix_lumthres0.8_out_shorttissue_flag_refactor/v4_dai2ki_color_normalization_modified_version/out/20200415test/5p375N/Normalize_per_ROI/P02212/EXCEPTION/EXCEPTION019301N1/EXCEPTION019301N1_2261_7907_class_0.jpg,1
/media/prostate/20200414_prostate_normalize_ite_fix_lumithres0.8_out_shorttissue_flag/color_normalization_ite_fix_lumthres0.8_out_shorttissue_flag_refactor/v4_dai2ki_color_normalization_modified_version/out/20200415test/5p375N/Normalize_per_ROI/P02212/EXCEPTION/EXCEPTION019301N1/EXCEPTION019301N1_2262_7907_class_0.jpg,1
/media/prostate/20200414_prostate_normalize_ite_fix_lumithres0.8_out_shorttissue_flag/color_normalization_ite_fix_lumthres0.8_out_shorttissue_flag_refactor/v4_dai2ki_color_normalization_modified_version/out/20200415test/5p375N/Normalize_per_ROI/P02212/EXCEPTION/EXCEPTION019301N1/EXCEPTION019301N1_2263_7907_class_0.jpg,1
/media/prostate/20200414_prostate_normalize_ite_fix_lumithres0.8_out_shorttissue_flag/color_normalization_ite_fix_lumthres0.8_out_shorttissue_flag_refactor/v4_dai2ki_color_normalization_modified_version/out/20200415test/5p375N/Normalize_per_ROI/P02212/EXCEPTION/EXCEPTION019301N1/EXCEPTION019301N1_2077_9220_class_0.jpg,1
/media/prostate/20200414_prostate_normalize_ite_fix_lumithres0.8_out_shorttissue_flag/color_normalization_ite_fix_lumthres0.8_out_shorttissue_flag_refactor/v4_dai2ki_color_normalization_modified_version/out/20200415test/5p375N/Normalize_per_ROI/P02212/EXCEPTION/EXCEPTION019301N1/EXCEPTION019301N1_2077_8470_class_0.jpg,1
